,Quantile,Iteration,Model-0,Model-1,Model-2,CC-Ave,BRC-Ave,CC-Juanmi,CC-Salva,CC-LR,CC-Diff,adaptCC-LR,adaptCC-MLP,CC-DT,BRC-DT
0,0.1,0,5.58,5.7700000000000005,3.4799999999999995,3.34,3.91,3.4099999999999997,3.2300000000000004,3.2199999999999998,3.25,3.16,3.29,4.279999999999999,4.279999999999999
0,0.1,1,5.58,4.93,4.82,4.36,4.62,4.75,4.5,4.45,4.36,4.38,4.390000000000001,4.279999999999999,4.279999999999999
0,0.1,2,8.459999999999999,6.35,8.200000000000001,5.13,6.72,6.35,5.75,6.35,5.07,5.1,5.08,3.06,3.06
0,0.1,3,8.19,8.459999999999999,6.35,5.13,6.72,6.35,5.74,6.35,5.09,5.08,5.08,3.06,3.06
0,0.1,4,6.41,10.2,9.07,5.970000000000001,7.5600000000000005,6.41,6.069999999999999,6.21,5.7700000000000005,5.79,5.76,3.11,3.11
0,0.2,0,6.17,7.64,9.24,5.26,6.36,5.33,5.06,5.08,5.0,4.87,4.88,7.07,7.07
0,0.2,1,8.33,6.72,9.06,7.21,7.37,6.64,6.569999999999999,6.5600000000000005,6.569999999999999,6.6000000000000005,6.61,9.06,9.06
0,0.2,2,8.709999999999999,7.84,7.62,6.54,6.75,6.75,6.550000000000001,6.529999999999999,6.47,6.510000000000001,6.5,8.61,8.61
0,0.2,3,9.959999999999999,7.71,6.17,5.08,6.34,5.38,5.04,5.08,4.96,4.8500000000000005,4.95,7.07,7.07
0,0.2,4,8.58,5.18,7.470000000000001,5.89,5.6000000000000005,5.66,5.04,5.050000000000001,5.04,5.04,5.01,8.559999999999999,8.559999999999999
0,0.3,0,11.04,10.57,9.120000000000001,9.33,8.95,9.2,8.62,8.649999999999999,8.559999999999999,8.7,8.6,13.59,13.59
0,0.3,1,11.67,11.04,10.57,10.59,10.37,10.65,10.459999999999999,10.45,10.34,10.45,10.31,13.59,13.59
0,0.3,2,12.740000000000002,14.78,6.39,7.140000000000001,9.27,6.39,6.370000000000001,6.36,6.32,6.25,6.279999999999999,9.379999999999999,9.379999999999999
0,0.3,3,12.04,9.08,9.49,8.85,8.959999999999999,8.93,8.870000000000001,8.870000000000001,8.94,8.870000000000001,8.93,12.16,12.16
0,0.3,4,10.48,14.39,5.7299999999999995,6.63,8.28,5.7299999999999995,5.6899999999999995,5.680000000000001,5.57,5.6000000000000005,5.56,9.17,9.17
0,0.4,0,8.959999999999999,7.32,10.85,6.950000000000001,7.340000000000001,6.79,6.63,6.63,6.32,6.3,6.32,12.22,12.22
0,0.4,1,13.18,11.83,13.36,12.49,12.09,12.16,11.98,11.83,11.790000000000001,11.83,12.11,18.12,18.12
0,0.4,2,10.51,10.45,10.66,9.22,8.97,9.120000000000001,9.08,9.120000000000001,9.01,9.04,8.97,13.11,13.11
0,0.4,3,10.27,7.9,10.299999999999999,8.200000000000001,7.91,7.03,6.909999999999999,6.98,6.890000000000001,6.710000000000001,6.88,14.14,14.14
0,0.4,4,10.59,11.65,11.540000000000001,10.73,10.209999999999999,10.54,10.58,10.57,10.81,10.84,10.79,17.130000000000003,17.130000000000003
0,0.5,0,11.17,10.2,11.959999999999999,9.07,9.29,9.17,9.120000000000001,9.13,9.08,9.0,9.07,17.669999999999998,17.669999999999998
0,0.5,1,11.34,12.53,15.040000000000001,11.85,11.709999999999999,10.9,10.84,10.89,10.91,10.74,10.77,22.650000000000002,22.650000000000002
0,0.5,2,12.22,11.53,12.809999999999999,10.92,10.81,10.86,10.83,10.86,10.879999999999999,10.82,10.94,21.41,21.41
0,0.5,3,11.4,11.959999999999999,12.02,10.07,10.08,9.950000000000001,9.91,9.93,9.93,9.84,9.969999999999999,17.669999999999998,17.669999999999998
0,0.5,4,13.059999999999999,13.73,12.950000000000001,12.379999999999999,11.81,12.139999999999999,12.120000000000001,12.1,12.15,12.09,12.17,20.27,20.27
0,0.6,0,13.91,11.93,7.6,9.28,9.5,7.6,7.53,7.5200000000000005,7.489999999999999,7.5,7.489999999999999,25.840000000000003,25.840000000000003
0,0.6,1,10.870000000000001,6.950000000000001,13.66,7.75,8.129999999999999,6.92,6.890000000000001,6.88,6.79,6.76,6.79,25.69,25.69
